question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What certificate does [Pilot_NYC05FA054] have?,AirlineTransport;FlightInstructor;Commercial,airlinetransport;flightinstructor;commercial,N/A (Insufficient information provided. Need more data such as name of pilot or type of certificate.), private
What is the second event associated with [AccidentNumber_MKC90LA021]?,FORCED_LANDING,nose_over,N/A., ___unknown___secondevent 
What instructor rating does [Pilot_LAX02LA037] have?,Airplane Single-engine,airplane multi-engine; airplane single-engine; instrument airplane,N/A (There is no information provided about Pilot_LAX02LA037's instructor rating), ___unknown___instructorrating
What certificate does [Pilot_ATL03LA101] have?,Private,private,N/A, Commercial
What caused [AccidentNumber_FTW93LA202]?,PREFLIGHTPLANNING/PREPARATION|FLUIDFUEL|TERRAINCONDITION,terraincondition,N/A, ___unknown___causeofaccident
What is the airplane rating associated with [Pilot_SEA02LA046]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, private
What environmental issue caused [AccidentNumber_IAD05LA071]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A - The given Accident Number does not provide any information related to an environmental issue., ___unknown___environmentalissue
What is the aircraft issue that caused [AccidentNumber_SEA02FA036]?,___Unknown___AircraftIssue,___unknown___aircraftissue,elevator power control unit malfunctioned causing uncommanded elevator movement., ___unknown___aircraftissue
What airspace is associated with [AccidentNumber_LAX05LA025]?,AirportInformation,airportinformation,N/A, ___unknown___airspacetype
What is the landing gear associated with [Registration_N21468]?,Tailwheel,tailwheel,N/A, ___unknown___landinggear
What is the second event associated with [AccidentNumber_LAX07TA051]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_control_-_in_flight,N/A (There is not enough information to determine the second event associated with AccidentNumber_LAX07TA051), ___unknown___secondevent 
What aircraft category does [Registration_N185NR] belong to?,Airplane,airplane,N/A,aircraftcategory_generalaviation
What engine is associated with [Registration_N68714]?,1Reciprocating,1reciprocating,N/A, Lycoming O-320-E2D
What is the aircraft issue that caused [AccidentNumber_DEN05LA055]?,___Unknown___AircraftIssue,___unknown___aircraftissue,The aircraft issue that caused AccidentNumber_DEN05LA055 is a loss of engine power due to a crankshaft failure., ___unknown___aircraftissue
What was the result of the last inspection for [Registration_N957T]?,Annual,annual,N/A, ___unknown___lastinspectionresult
